关键词:中文；书,                命中次数 = 6
关键词:书；分类,                命中次数 = 2
关键词:wifi；有,                命中次数 = 1
关键词:三国演义,                命中次数 = 7
关键词:推荐；买,                命中次数 = 1
关键词:人工智能；想,                命中次数 = 5
关键词:四楼,                命中次数 = 22
关键词:书；借,                命中次数 = 43
关键词:部门,                命中次数 = 1
关键词:儿童；找,                命中次数 = 1
关键词:java,                命中次数 = 1
关键词:电梯,                命中次数 = 42
关键词:上网；可以,                命中次数 = 1
关键词:空调；开,                命中次数 = 4
关键词:展览,                命中次数 = 3
关键词:力学,                命中次数 = 8
关键词:查；资料,                命中次数 = 3
关键词:考试,                命中次数 = 2
关键词:文学；类,                命中次数 = 2
关键词:校史馆,                命中次数 = 2
关键词:展区；哪,                命中次数 = 1
关键词:报；名,                命中次数 = 2
关键词:打印机,                命中次数 = 2
关键词:楼；功能,                命中次数 = 1
关键词:卫生间,                命中次数 = 139
关键词:共产党宣言,                命中次数 = 8
关键词:书；层,                命中次数 = 2
关键词:咖啡；哪,                命中次数 = 2
关键词:无线密码,                命中次数 = 1
关键词:好吃,                命中次数 = 5
关键词:资源；什么,                命中次数 = 1
关键词:安徒生童话,                命中次数 = 3
关键词:外文；想,                命中次数 = 1
关键词:楼层；导航,                命中次数 = 1
关键词:文学；书,                命中次数 = 1
关键词:楼梯间,                命中次数 = 6
关键词:活动；想,                命中次数 = 1
关键词:报名；去,                命中次数 = 1
关键词:外文；哪,                命中次数 = 1
关键词:卡；多少,                命中次数 = 1
关键词:人工智能；哪,                命中次数 = 1
关键词:车；地铁,                命中次数 = 1
关键词:志愿,                命中次数 = 2
关键词:书；还,                命中次数 = 17
关键词:论文；查重,                命中次数 = 4
关键词:休息区,                命中次数 = 3
关键词:杂志；杂志,                命中次数 = 2
关键词:重庆,                命中次数 = 18
关键词:楼层,                命中次数 = 1
关键词:自习；室,                命中次数 = 5
关键词:书；哪些,                命中次数 = 8
关键词:位置；找,                命中次数 = 2
关键词:经济,                命中次数 = 17
关键词:美术；书,                命中次数 = 1
关键词:书；查,                命中次数 = 62
关键词:人工智能,                命中次数 = 89
关键词:坐；电梯,                命中次数 = 3
关键词:解放战争,                命中次数 = 2
关键词:自习；去,                命中次数 = 1
关键词:书,                命中次数 = 242
关键词:餐厅,                命中次数 = 7
关键词:儿童；书,                命中次数 = 9
关键词:查；哪,                命中次数 = 5
关键词:画展,                命中次数 = 2
