关键词:电梯；去,                命中次数 = 284
关键词:餐厅；去,                命中次数 = 127
关键词:电梯；哪,                命中次数 = 70
关键词:餐厅；哪,                命中次数 = 62
关键词:有；面,                命中次数 = 46
关键词:儿童；去,                命中次数 = 36
关键词:好玩；地方,                命中次数 = 31
关键词:休息；去,                命中次数 = 23
关键词:入住；办理,                命中次数 = 19
关键词:去；机场,                命中次数 = 18
关键词:站；地铁,                命中次数 = 17
关键词:游泳；哪,                命中次数 = 17
关键词:咖啡厅；去,                命中次数 = 17
关键词:站；车站,                命中次数 = 16
关键词:唱歌；去,                命中次数 = 13
关键词:景点；哪,                命中次数 = 12
关键词:电梯；楼,                命中次数 = 12
关键词:会议；去,                命中次数 = 11
关键词:礼宾；去,                命中次数 = 10
关键词:餐厅；楼,                命中次数 = 9
关键词:游泳；去,                命中次数 = 9
关键词:小吃；哪,                命中次数 = 9
关键词:去；停车,                命中次数 = 9
关键词:医院；哪,                命中次数 = 9
关键词:最近；地铁,                命中次数 = 9
关键词:银行；哪,                命中次数 = 7
关键词:哪里；地铁,                命中次数 = 7
关键词:健身；哪,                命中次数 = 7
关键词:广场；去,                命中次数 = 7
关键词:多远；机场,                命中次数 = 7
关键词:行李；去,                命中次数 = 7
关键词:行李；哪,                命中次数 = 6
关键词:唱歌；哪,                命中次数 = 6
关键词:停车；哪,                命中次数 = 6
关键词:附近；地铁,                命中次数 = 5
关键词:水吧；去,                命中次数 = 5
关键词:去；地铁,                命中次数 = 5
关键词:附近；美食,                命中次数 = 5
关键词:宴会；去,                命中次数 = 5
关键词:健身；去,                命中次数 = 5
关键词:儿童；哪,                命中次数 = 5
关键词:附近；景点,                命中次数 = 5
关键词:棋牌室；去,                命中次数 = 4
关键词:咖啡厅；哪,                命中次数 = 4
关键词:坐；机场,                命中次数 = 4
关键词:退房；几点,                命中次数 = 4
关键词:休息；哪,                命中次数 = 4
关键词:租车；帮,                命中次数 = 4
关键词:入住；办,                命中次数 = 4
关键词:几；会议,                命中次数 = 4
关键词:超市；哪,                命中次数 = 4
关键词:哪里；公交,                命中次数 = 3
关键词:自助餐；去,                命中次数 = 3
关键词:按摩；去,                命中次数 = 3
关键词:会议；哪,                命中次数 = 3
关键词:中餐；去,                命中次数 = 3
关键词:小吃；吃,                命中次数 = 3
关键词:自助餐；哪,                命中次数 = 3
关键词:入住；自助,                命中次数 = 3
关键词:附近；公交,                命中次数 = 3
关键词:美食；哪,                命中次数 = 3
关键词:酒吧；哪,                命中次数 = 3
关键词:医院；多远,                命中次数 = 3
关键词:电梯；地方,                命中次数 = 3
关键词:线；地铁,                命中次数 = 3
关键词:有；中餐,                命中次数 = 3
关键词:电影；哪,                命中次数 = 3
关键词:商场；哪,                命中次数 = 3
关键词:宴会；楼,                命中次数 = 3
关键词:健身；楼,                命中次数 = 3
关键词:雨伞；哪,                命中次数 = 2
关键词:有；宴会,                命中次数 = 2
关键词:自助餐；钱,                命中次数 = 2
关键词:电梯；吃,                命中次数 = 2
关键词:温泉；哪,                命中次数 = 2
