关键词:中文；书,                命中次数 = 3
关键词:三国演义,                命中次数 = 3
关键词:wifi；有,                命中次数 = 2
关键词:人工智能；想,                命中次数 = 16
关键词:复印,                命中次数 = 1
关键词:楼梯口,                命中次数 = 1
关键词:过期；怎么办,                命中次数 = 2
关键词:推荐；书,                命中次数 = 3
关键词:四楼,                命中次数 = 6
关键词:书；借,                命中次数 = 94
关键词:部门,                命中次数 = 1
关键词:空调；能,                命中次数 = 1
关键词:电梯,                命中次数 = 45
关键词:空调；开,                命中次数 = 7
关键词:座位；预约,                命中次数 = 1
关键词:展示；区,                命中次数 = 1
关键词:办卡；想,                命中次数 = 1
关键词:文学；资料,                命中次数 = 3
关键词:力学,                命中次数 = 4
关键词:考试,                命中次数 = 6
关键词:查；资料,                命中次数 = 1
关键词:校史馆,                命中次数 = 37
关键词:展区；哪,                命中次数 = 1
关键词:报；名,                命中次数 = 1
关键词:打印机,                命中次数 = 1
关键词:卫生间,                命中次数 = 197
关键词:五层,                命中次数 = 1
关键词:共产党宣言,                命中次数 = 4
关键词:花落知多少,                命中次数 = 3
关键词:书；层,                命中次数 = 9
关键词:咖啡；哪,                命中次数 = 4
关键词:阅览室；书,                命中次数 = 1
关键词:好吃,                命中次数 = 6
关键词:借还；哪,                命中次数 = 1
关键词:楼层；导航,                命中次数 = 18
关键词:摩尔定律,                命中次数 = 7
关键词:文学；书,                命中次数 = 2
关键词:活动；想,                命中次数 = 1
关键词:外文；哪,                命中次数 = 1
关键词:自助；还,                命中次数 = 5
关键词:书；还,                命中次数 = 23
关键词:论文；查重,                命中次数 = 1
关键词:休息区,                命中次数 = 1
关键词:杂志；杂志,                命中次数 = 1
关键词:展示；看,                命中次数 = 1
关键词:重庆,                命中次数 = 18
关键词:馆藏；情况,                命中次数 = 1
关键词:楼层,                命中次数 = 2
关键词:自习；室,                命中次数 = 1
关键词:书；哪些,                命中次数 = 10
关键词:位置；找,                命中次数 = 2
关键词:经济,                命中次数 = 11
关键词:离校；手续,                命中次数 = 1
关键词:办证；要,                命中次数 = 19
关键词:书；查,                命中次数 = 43
关键词:人工智能,                命中次数 = 73
关键词:坐；电梯,                命中次数 = 5
关键词:馆；路线,                命中次数 = 7
关键词:入馆；须知,                命中次数 = 1
关键词:多久,                命中次数 = 9
关键词:多远；地铁,                命中次数 = 1
关键词:三体,                命中次数 = 1
关键词:校园卡,                命中次数 = 1
