关键词:附近；酒店,                命中次数 = 4
关键词:餐厅；开门,                命中次数 = 2
关键词:吃海鲜,                命中次数 = 1
关键词:wifi；有,                命中次数 = 6
关键词:欢乐世界,                命中次数 = 11
关键词:酒店服务,                命中次数 = 2
关键词:超市；去,                命中次数 = 5
关键词:景区；去,                命中次数 = 1
关键词:最近；饭店,                命中次数 = 3
关键词:附近；地铁,                命中次数 = 3
关键词:洗手,                命中次数 = 10
关键词:周边；景点,                命中次数 = 1
关键词:早点；吃,                命中次数 = 2
关键词:自助餐；时间,                命中次数 = 1
关键词:餐厅；午餐,                命中次数 = 1
关键词:ktv；哪,                命中次数 = 1
关键词:景点,                命中次数 = 18
关键词:卫生间,                命中次数 = 384
关键词:客厅,                命中次数 = 13
关键词:烤肉,                命中次数 = 2
关键词:餐厅；时间,                命中次数 = 4
关键词:ktv,                命中次数 = 10
关键词:哪里；地铁,                命中次数 = 18
关键词:充电宝,                命中次数 = 12
关键词:最近；加油站,                命中次数 = 5
关键词:餐厅；几点,                命中次数 = 1
关键词:儿童天地在哪里,                命中次数 = 2
关键词:南京南站,                命中次数 = 18
关键词:停车；券,                命中次数 = 1
关键词:博物馆,                命中次数 = 10
关键词:自助餐；吃,                命中次数 = 3
关键词:无线；多少,                命中次数 = 1
关键词:健身；哪,                命中次数 = 3
关键词:景点；开门,                命中次数 = 1
关键词:健身房；哪,                命中次数 = 15
关键词:晚餐；吃,                命中次数 = 1
关键词:周边,                命中次数 = 7
关键词:电影；地方,                命中次数 = 2
关键词:昆明玉龙湾,                命中次数 = 1
关键词:周围；地铁,                命中次数 = 1
关键词:海滩,                命中次数 = 4
关键词:总统府,                命中次数 = 19
关键词:中餐；楼,                命中次数 = 3
关键词:小吃；出名,                命中次数 = 1
关键词:七彩云南欢乐世界,                命中次数 = 4
关键词:餐厅,                命中次数 = 152
关键词:晚餐；菜,                命中次数 = 1
关键词:咖啡；晚餐,                命中次数 = 1
关键词:附近；逛街,                命中次数 = 2
关键词:外卖；附近,                命中次数 = 1
关键词:午餐；晚餐,                命中次数 = 1
关键词:晚餐；地方,                命中次数 = 1
关键词:送；外卖,                命中次数 = 5
关键词:餐厅；几层,                命中次数 = 4
关键词:理发,                命中次数 = 1
关键词:中餐,                命中次数 = 4
关键词:奶茶,                命中次数 = 4
关键词:游乐场；去,                命中次数 = 2
关键词:附近；美食,                命中次数 = 3
关键词:广场,                命中次数 = 16
关键词:行李,                命中次数 = 15
关键词:房价,                命中次数 = 9
关键词:wifi；多少,                命中次数 = 5
关键词:饮水,                命中次数 = 2
关键词:ktv；楼,                命中次数 = 3
关键词:金辉厅,                命中次数 = 9
关键词:酒店大门,                命中次数 = 3
关键词:附近；加油站,                命中次数 = 1
关键词:米线,                命中次数 = 6
关键词:吧台,                命中次数 = 3
关键词:最近；银行,                命中次数 = 2
关键词:早饭,                命中次数 = 11
关键词:包厢；楼,                命中次数 = 1
关键词:公园；去,                命中次数 = 6
关键词:客房；去,                命中次数 = 15
关键词:退房；哪,                命中次数 = 1
关键词:餐厅；卫生间,                命中次数 = 1
关键词:去；公交,                命中次数 = 10
关键词:服务台,                命中次数 = 9
关键词:麻将,                命中次数 = 9
关键词:周边；吃,                命中次数 = 5
关键词:活动,                命中次数 = 21
关键词:优惠,                命中次数 = 97
关键词:空调,                命中次数 = 16
关键词:健身房；楼,                命中次数 = 1
关键词:明孝陵,                命中次数 = 2
关键词:葵花,                命中次数 = 1
关键词:电影,                命中次数 = 26
关键词:无线,                命中次数 = 3
关键词:威尼斯人,                命中次数 = 1
关键词:会议室；哪,                命中次数 = 9
关键词:酒店介绍,                命中次数 = 3
关键词:最近,                命中次数 = 53
关键词:餐厅；下单,                命中次数 = 1
关键词:总统府怎么去,                命中次数 = 9
