关键词:吃海鲜,                命中次数 = 1
关键词:早餐；时间,                命中次数 = 24
关键词:南京站,                命中次数 = 2
关键词:欢乐世界,                命中次数 = 3
关键词:酒店服务,                命中次数 = 1
关键词:海鲜,                命中次数 = 1
关键词:喝东西,                命中次数 = 1
关键词:水果店,                命中次数 = 1
关键词:景区；去,                命中次数 = 1
关键词:包厢；位置,                命中次数 = 1
关键词:井冈山,                命中次数 = 3
关键词:周围；酒店,                命中次数 = 1
关键词:加油,                命中次数 = 2
关键词:附近；地铁,                命中次数 = 2
关键词:电梯,                命中次数 = 191
关键词:东方风格,                命中次数 = 2
关键词:洗手,                命中次数 = 2
关键词:餐厅；楼,                命中次数 = 4
关键词:附近；宾馆,                命中次数 = 1
关键词:附近,                命中次数 = 40
关键词:大巴；机场,                命中次数 = 1
关键词:狮子楼,                命中次数 = 12
关键词:中山陵,                命中次数 = 2
关键词:洗衣,                命中次数 = 1
关键词:餐厅；优惠,                命中次数 = 5
关键词:中餐；去,                命中次数 = 6
关键词:青岛饭店,                命中次数 = 1
关键词:ktv；哪,                命中次数 = 2
关键词:景点,                命中次数 = 4
关键词:卫生间,                命中次数 = 255
关键词:客厅,                命中次数 = 3
关键词:西山索道,                命中次数 = 1
关键词:咖啡；哪,                命中次数 = 2
关键词:ktv,                命中次数 = 1
关键词:好吃,                命中次数 = 49
关键词:哪里；地铁,                命中次数 = 1
关键词:多远；高铁站,                命中次数 = 6
关键词:午餐；早餐,                命中次数 = 1
关键词:退房,                命中次数 = 5
关键词:住酒店,                命中次数 = 5
关键词:体验馆,                命中次数 = 3
关键词:最近；加油站,                命中次数 = 2
关键词:充电宝,                命中次数 = 1
关键词:儿童天地在哪里,                命中次数 = 1
关键词:江景厅,                命中次数 = 1
关键词:包厢；哪,                命中次数 = 4
关键词:喝水,                命中次数 = 4
关键词:车；地铁,                命中次数 = 2
关键词:休息区,                命中次数 = 3
关键词:礼堂,                命中次数 = 1
关键词:博物馆,                命中次数 = 4
关键词:动物园；哪,                命中次数 = 1
关键词:附近；好玩,                命中次数 = 10
关键词:附近；烤鸭,                命中次数 = 1
关键词:坐；电梯,                命中次数 = 10
关键词:健身房；哪,                命中次数 = 1
关键词:周边,                命中次数 = 2
关键词:宴会厅；哪,                命中次数 = 1
关键词:总统府,                命中次数 = 11
关键词:海棠园,                命中次数 = 1
关键词:餐馆,                命中次数 = 1
关键词:停车场；电梯,                命中次数 = 1
关键词:餐厅,                命中次数 = 34
